date,actual_AQI,predicted_AQI,error,absolute_error,squared_error,actual_category,predicted_category,category_correct,horizon,model
2025-09-29,90.0,96.03227609742646,6.032276097426461,6.032276097426461,36.38835491558262,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-30,64.0,97.6156431501283,33.61564315012831,33.61564315012831,1130.0114643967681,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-10-01,56.0,86.3293436127457,30.329343612745703,30.329343612745703,919.8690839799985,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-10-02,58.0,85.23737226750039,27.23737226750039,27.23737226750039,741.8744480383994,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-10-03,61.0,82.60592262598101,21.60592262598101,21.60592262598101,466.8158925198781,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-10-04,96.0,79.0235547907561,-16.976445209243906,16.976445209243906,288.19969194246033,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-10-05,101.0,78.41022987824928,-22.589770121750718,22.589770121750718,510.29771415354145,Unhealthy for Sensitive Groups,Moderate,False,AQI_t+2,SVR + RobustScaler
2025-10-06,124.0,100.06325706524306,-23.936742934756936,23.936742934756936,572.9676623246361,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-07,118.0,109.11147077749722,-8.888529222502783,8.888529222502783,79.00595173928592,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-08,113.0,97.65245868341124,-15.34754131658876,15.34754131658876,235.54702446439904,Unhealthy for Sensitive Groups,Moderate,False,AQI_t+2,SVR + RobustScaler
2025-10-09,115.0,92.74234052733124,-22.257659472668763,22.257659472668763,495.40340520128154,Unhealthy for Sensitive Groups,Moderate,False,AQI_t+2,SVR + RobustScaler
2025-10-10,135.0,100.58805997168434,-34.411940028315655,34.411940028315655,1184.1816165123932,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-11,114.0,112.02357432109011,-1.9764256789098908,1.9764256789098908,3.906258464254423,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-12,126.0,113.93336432073438,-12.066635679265616,12.066635679265616,145.60369661612597,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-13,140.0,111.09971338704321,-28.90028661295679,28.90028661295679,835.2265663110495,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-14,151.0,110.12194900989562,-40.878050990104384,40.878050990104384,1671.0150527495741,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-10-15,153.0,109.10916092801253,-43.89083907198747,43.89083907198747,1926.405754443102,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-10-16,159.0,110.44895923917983,-48.55104076082017,48.55104076082017,2357.2035589588218,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-10-17,139.0,114.03130895052038,-24.968691049479617,24.968691049479617,623.4355327243635,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-18,128.0,116.50901194430365,-11.490988055696349,11.490988055696349,132.04280649615615,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-19,122.0,116.2166433586039,-5.783356641396097,5.783356641396097,33.44721404158034,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-20,124.0,113.00396480366253,-10.996035196337473,10.996035196337473,120.9127900390925,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-21,133.0,115.5064472742208,-17.493552725779196,17.493552725779196,306.0243869696167,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-22,146.0,115.63193815011228,-30.368061849887724,30.368061849887724,922.2191805186062,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-23,126.0,118.35280482386342,-7.647195176136577,7.647195176136577,58.47959406192654,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-24,117.0,117.515664259206,0.5156642592060052,0.5156642592060052,0.26590962822247816,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-25,105.0,112.26808243610382,7.268082436103825,7.268082436103825,52.82502229800091,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-26,126.0,113.64345485818473,-12.356545141815275,12.356545141815275,152.68420784171866,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-27,115.0,113.92370133818449,-1.076298661815514,1.076298661815514,1.158418809425866,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-28,99.0,113.87931471223744,14.879314712237445,14.879314712237445,221.39400630580568,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-10-29,145.0,114.44059782828408,-30.559402171715917,30.559402171715917,933.8770610926755,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-10-30,165.0,105.35351745924069,-59.64648254075931,59.64648254075931,3557.702879485105,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-10-31,162.0,120.09729512489935,-41.90270487510065,41.90270487510065,1755.8366758497841,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-11-01,148.0,126.57541054796482,-21.42458945203518,21.42458945203518,459.013033188257,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-02,96.0,118.37981022573634,22.379810225736335,22.379810225736335,500.8559057399726,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-11-03,90.0,115.13708069675025,25.137080696750246,25.137080696750246,631.8728259549339,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-11-04,144.0,115.54665052373922,-28.453349476260783,28.453349476260783,809.5930964182297,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-05,142.0,112.05489287706328,-29.94510712293672,29.94510712293672,896.7094406041554,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-06,120.0,122.50940062948067,2.509400629480666,2.509400629480666,6.297091519237964,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-07,129.0,122.77016173071104,-6.229838269288962,6.229838269288962,38.810884861497286,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-08,120.0,119.16068875336957,-0.8393112466304302,0.8393112466304302,0.7044433687203269,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-09,116.0,125.27084075318314,9.270840753183137,9.270840753183137,85.94848827088127,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-10,114.0,115.25567490157354,1.255674901573542,1.255674901573542,1.5767194584417243,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-11,125.0,114.89153142821888,-10.108468571781117,10.108468571781117,102.18113686668657,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-12,107.0,117.07502543188313,10.075025431883134,10.075025431883134,101.50613745309192,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-13,109.0,121.74373164935753,12.743731649357528,12.743731649357528,162.40269635083675,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-14,122.0,118.98114935261474,-3.018850647385264,3.018850647385264,9.113459231218428,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-15,156.0,113.69433017406021,-42.30566982593979,42.30566982593979,1789.7696994214323,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
